ID	CONCEPT	COUNTERPART	PROTOFORM	DERIVATION_CLASS	NOTE_PRESENT	PRODUCTION_STATUS	SOURCE_MATERIAL_STATUS	SOURCE_MATERIAL_PATHS	PRIORITY_TIER	PILOT_BATCH_CANDIDATE	MODEL_ENTRY_CANDIDATE	NEEDS_EXCEPTION_AGENT	REASON
1975	calf	ċealf	*kálbaz	regular	yes	none	source_material_available	dev_notes_slices/1975-calf-ċealf.md, packets/1975-calf-ċealf.md, research_memos/1975-calf-ċealf.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1976	chew	ċēowan	*kéwwaną	regular	no	none	source_material_available	dev_notes_slices/1976-chew-ċēowan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1977	climb	climban	*klímbaną	regular	no	none	source_material_available	dev_notes_slices/1977-climb-climban.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1978	comb	camb	*kámbaz	regular	no	none	source_material_available	dev_notes_slices/1978-comb-camb.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1979	corn	corn	*kúrną	regular	yes	none	source_material_available	dev_notes_slices/1979-corn-corn.md, packets/1979-corn-corn.md, research_memos/1979-corn-corn.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1980	cow	cȳ	*kūi	late_analogy	yes	none	source_material_available	dev_notes_slices/1980-cow-cȳ.md, packets/1980-cow-cȳ.md, research_memos/1980-cow-cȳ.md	P1_nonregular_missing_production	yes	yes	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
1981	craft	cræft	*kráftaz	early_analogy	yes	manifest_pilot	manifest_backed	pilot/craft.md	P3_manifest_pilot_review_or_upgrade	no	no	no	Existing manifest-backed pilot report; review before any promotion to full.
1982	crop	cropp	*krúppaz	regular	no	none	source_material_available	dev_notes_slices/1982-crop-cropp.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1983	cud	cwedu	*kwéðuz	attested_variant	yes	manifest_pilot	manifest_backed	pilot/cud.md	P3_manifest_pilot_review_or_upgrade	no	no	maybe	Existing manifest-backed pilot report; review before any promotion to full.
1984	dale	dæl	*dálaz	regular	no	none	source_material_available	dev_notes_slices/1984-dale-dæl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1985	day	dæġ	*dágaz	regular	no	none	source_material_available	dev_notes_slices/1985-day-dæġ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1986	deal	dǣl	*dáiliz	regular	no	none	source_material_available	dev_notes_slices/1986-deal-dǣl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1987	deed	dǣd	*dḗdiz	regular	yes	none	source_material_available	dev_notes_slices/1987-deed-dǣd.md, research_memos/1987-deed-dǣd.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1988	deer	dēor	*déuzą	regular	no	none	source_material_available	dev_notes_slices/1988-deer-dēor.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1989	dew	dēaw	*dáwwō	regular	no	none	source_material_available	dev_notes_slices/1989-dew-dēaw.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1990	dill	dile	*déliz	early_analogy	yes	none	source_material_available	dev_notes_slices/1990-dill-dile.md, packets/1990-dill-dile.md, research_memos/1990-dill-dile.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
1991	do	dōn	*dōną	regular	no	none	source_material_available	dev_notes_slices/1991-do-dōn.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1992	door	dor	*dúrą	regular	yes	none	source_material_available	dev_notes_slices/1992-door-dor.md, packets/1992-door-dor.md, research_memos/1992-door-dor.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
1993	dough	dāg	*dáigaz	regular	no	none	source_material_available	dev_notes_slices/1993-dough-dāg.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1995	dream	drēam	*dráugmaz	regular	no	none	source_material_available	dev_notes_slices/1995-dream-drēam.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1996	drench	drenċ	*dránkiz	regular	no	none	source_material_available	dev_notes_slices/1996-drench-drenċ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1997	drink	drincan	*drínkaną	regular	no	none	source_material_available	dev_notes_slices/1997-drink-drincan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1998	drive	drīfan	*drḯbaną	regular	no	none	source_material_available	dev_notes_slices/1998-drive-drīfan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
1999	earth	eorþe	*érθōn	regular	no	none	source_material_available	dev_notes_slices/1999-earth-eorþe.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2000	eat	etan	*étaną	regular	no	none	source_material_available	dev_notes_slices/2000-eat-etan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2001	eel	ǣl	*ḗlaz	regular	no	none	source_material_available	dev_notes_slices/2001-eel-ǣl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2002	fall	feallan	*fállaną	regular	no	none	source_material_available	dev_notes_slices/2002-fall-feallan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2003	fare	faran	*fáraną	regular	yes	none	source_material_available	dev_notes_slices/2003-fare-faran.md, packets/2003-fare-faran.md, research_memos/2003-fare-faran.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2004	fast	festan	*fástijaną	early_analogy	yes	none	source_material_available	dev_notes_slices/2004-fast-festan.md, packets/2004-fast-festan.md, research_memos/2004-fast-festan.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2005	father	fæder	*fádēr	regular	no	none	source_material_available	dev_notes_slices/2005-father-fæder.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2006	fee	feoh	*féxu	regular	no	none	source_material_available	dev_notes_slices/2006-fee-feoh.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2007	fell	fell	*féllą	regular	yes	none	source_material_available	dev_notes_slices/2007-fell-fell.md, packets/2007-fell-fell.md, research_memos/2007-fell-fell.md, research_memos/batch_15_summary.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2008	fern	fearn	*fárnaz	regular	yes	none	source_material_available	dev_notes_slices/2008-fern-fearn.md, packets/2008-fern-fearn.md, research_memos/2008-fern-fearn.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2009	field	feld	*félθuz	regular	yes	none	source_material_available	dev_notes_slices/2009-field-feld.md, packets/2009-field-feld.md, research_memos/2009-field-feld.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2010	fight	feohtan	*féxtaną	regular	no	none	source_material_available	dev_notes_slices/2010-fight-feohtan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2011	find	fundene	*fúnðanǭ	late_analogy	yes	none	source_material_available	dev_notes_slices/2011-find-fundene.md, packets/2011-find-fundene.md, research_memos/2011-find-fundene.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2012	finger	finger	*fíngraz	regular	no	none	source_material_available	dev_notes_slices/2012-finger-finger.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2013	fire	fȳre	*fūri	known_unmodelled	yes	manifest_pilot	manifest_backed	pilot/fire.md	P3_manifest_pilot_review_or_upgrade	yes	no	no	Existing manifest-backed pilot report; review before any promotion to full.
2014	fish	fisċ	*fískaz	regular	no	none	source_material_available	dev_notes_slices/2014-fish-fisċ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2015	fist	fȳst	*fúnxstiz	regular	no	none	source_material_available	dev_notes_slices/2015-fist-fȳst.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2016	flask	flasce	*fláskōn	early_analogy	no	none	source_material_available	dev_notes_slices/2016-flask-flasce.md, packets/2016-flask-flasce.md, research_memos/2016-flask-flasce.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2017	flax	fleax	*fláxsą	regular	no	none	source_material_available	dev_notes_slices/2017-flax-fleax.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2018	flea	flēah	*fláuxz	regular	no	none	source_material_available	dev_notes_slices/2018-flea-flēah.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2019	flee	flēon	*fléuxaną	regular	no	none	source_material_available	dev_notes_slices/2019-flee-flēon.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2020	flesh	flǣsċ	*fláiskiz	regular	no	none	source_material_available	dev_notes_slices/2020-flesh-flǣsċ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2021	flood	flōd	*flōduz	regular	no	none	source_material_available	dev_notes_slices/2021-flood-flōd.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2022	fly	flēogan	*fléuganą	regular	yes	none	source_material_available	dev_notes_slices/2022-fly-flēogan.md, packets/2022-fly-flēogan.md, research_memos/2022-fly-flēogan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2023	foal	fola	*fúlô	regular	no	none	source_material_available	dev_notes_slices/2023-foal-fola.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2024	fodder	fōdor	*fōdrą	regular	no	none	source_material_available	dev_notes_slices/2024-fodder-fōdor.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2025	fold	fealdan	*fálθaną	regular	no	none	source_material_available	dev_notes_slices/2025-fold-fealdan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2026	folk	folc	*fúlką	regular	no	none	source_material_available	dev_notes_slices/2026-folk-folc.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2027	follow	fylġan	*fúlgijaną	early_analogy	yes	none	source_material_available	dev_notes_slices/2027-follow-fylġan.md, packets/2027-follow-fylġan.md, research_memos/2027-follow-fylġan.md	P1_nonregular_missing_production	yes	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2028	forlorn	lēosan	*léusaną	regular	yes	none	source_material_available	dev_notes_slices/2028-forlorn-lēosan.md, packets/2028-forlorn-lēosan.md, research_memos/2028-forlorn-lēosan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2029	four	fēower	*fédwōr	regular	no	none	source_material_available	dev_notes_slices/2029-four-fēower.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2030	fowl	fugol	*fúglaz	unexplained_unmodelled	yes	none	source_material_available	dev_notes_slices/2030-fowl-fugol.md, research_memos/2030-fowl-fugol.md	P1_nonregular_missing_production	no	no	maybe	Non-regular unexplained_unmodelled row with supporting source material but no manifest-backed production report.
2031	fox	fox	*fúxsaz	regular	no	none	source_material_available	dev_notes_slices/2031-fox-fox.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2032	freeze	frēosan	*fréusaną	regular	no	none	source_material_available	dev_notes_slices/2032-freeze-frēosan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2033	friend	frēond	*fríjōndz	regular	no	none	source_material_available	dev_notes_slices/2033-friend-frēond.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2034	fright	fyrhte	*fúrxtīnaz	late_analogy	yes	none	source_material_available	dev_notes_slices/2034-fright-fyrhte.md, packets/2034-fright-fyrhte.md, research_memos/2034-fright-fyrhte.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2035	frost	forst	*frústą	regular	no	none	source_material_available	dev_notes_slices/2035-frost-forst.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2036	furrow	furh	*fúrx	regular	no	none	source_material_available	dev_notes_slices/2036-furrow-furh.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2037	gall	ġealla	*gállô	early_analogy	no	none	source_material_available	dev_notes_slices/2037-gall-ġealla.md, packets/2037-gall-ġealla.md, research_memos/2037-gall-ġealla.md	P1_nonregular_missing_production	no	no	no	Non-regular early_analogy row with supporting source material but no manifest-backed production report.
2038	gang	gang	*gángaz	regular	yes	none	source_material_available	dev_notes_slices/2038-gang-gang.md, packets/2038-gang-gang.md, research_memos/2038-gang-gang.md, research_memos/batch_17_summary.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2039	ghost	gāst	*gáistaz	regular	no	none	source_material_available	dev_notes_slices/2039-ghost-gāst.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2040	gift	ġift	*géftiz	regular	no	none	source_material_available	dev_notes_slices/2040-gift-ġift.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2041	give	ġiefan	*gébaną	regular	yes	none	source_material_available	dev_notes_slices/2041-give-ġiefan.md, packets/2041-give-ġiefan.md, research_memos/2041-give-ġiefan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2042	god	god	*gúdą	regular	no	none	source_material_available	dev_notes_slices/2042-god-god.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2043	gold	gold	*gúlθą	regular	yes	none	source_material_available	dev_notes_slices/2043-gold-gold.md, packets/2043-gold-gold.md, research_memos/2043-gold-gold.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2044	goose	gōs	*gánsz	regular	no	none	source_material_available	dev_notes_slices/2044-goose-gōs.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2045	grass	græs	*grásą	regular	no	none	source_material_available	dev_notes_slices/2045-grass-græs.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2046	grave	grafan	*grábaną	regular	yes	none	source_material_available	dev_notes_slices/2046-grave-grafan.md, packets/2046-grave-grafan.md, research_memos/2046-grave-grafan.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2047	gripe	grīpan	*grḯpaną	regular	no	none	source_material_available	dev_notes_slices/2047-gripe-grīpan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2048	ground	grund	*grúnduz	regular	no	none	source_material_available	dev_notes_slices/2048-ground-grund.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2049	guest	ġiest	*gástiz	regular	yes	none	source_material_available	dev_notes_slices/2049-guest-ġiest.md, packets/2049-guest-ġiest.md, research_memos/2049-guest-ġiest.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2050	hail	hæġl	*xáglą	regular	no	none	source_material_available	dev_notes_slices/2050-hail-hæġl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2051	hair	hǣr	*xḗrą	regular	yes	none	source_material_available	dev_notes_slices/2051-hair-hǣr.md, packets/2051-hair-hǣr.md, research_memos/2051-hair-hǣr.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2052	hall	heall	*xállō	regular	no	none	source_material_available	dev_notes_slices/2052-hall-heall.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2053	hammer	hameres	*xámaras	late_analogy	yes	none	source_material_available	dev_notes_slices/2053-hammer-hameres.md, packets/2053-hammer-hameres.md, research_memos/2053-hammer-hameres.md	P1_nonregular_missing_production	no	yes	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2054	hand	hand	*xánduz	regular	no	none	source_material_available	dev_notes_slices/2054-hand-hand.md, dev_notes_slices/2055-handle-handlian.md, packets/2055-handle-handlian.md, research_memos/2055-handle-handlian.md, research_memos/batch_19_summary.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2055	handle	handlian	*xándlōjaną	regular	yes	none	no_source_material_found		P0_no_source_material	no	no	yes	Audit currently shows no linked source material for this required row; nearby row 2054 absorbs handle-named files, so source-material reassignment or regeneration should happen before drafting.
2056	harm	hearm	*xármaz	regular	no	none	source_material_available	dev_notes_slices/2056-harm-hearm.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2057	harvest	hierfest	*xárbistuz	regular	yes	none	source_material_available	dev_notes_slices/2057-harvest-hierfest.md, research_memos/2057-harvest-hierfest.md	P2_regular_with_note_missing_production	no	no	no	Regular row has a NOTE and supporting source material but no manifest-backed production report.
2058	have	hæfeþ	*xábēθi	late_analogy	yes	none	source_material_available	dev_notes_slices/2058-have-hæfeþ.md, packets/2058-have-hæfeþ.md, research_memos/2058-have-hæfeþ.md	P1_nonregular_missing_production	no	no	maybe	Non-regular late_analogy row with supporting source material but no manifest-backed production report.
2059	haw	haga	*xágô	regular	no	none	source_material_available	dev_notes_slices/2059-haw-haga.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2060	hawk	hafoc	*xábukaz	regular	no	none	source_material_available	dev_notes_slices/2060-hawk-hafoc.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2061	hay	hīeġ	*xáwwją	regular	no	none	source_material_available	dev_notes_slices/2061-hay-hīeġ.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2062	hazel	hæsl	*xáslaz	regular	no	none	source_material_available	dev_notes_slices/2062-hazel-hæsl.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2063	head	hēafod	*xáubudą	regular	no	none	source_material_available	dev_notes_slices/2063-head-hēafod.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2064	heal	hǣlan	*xáilijaną	regular	no	none	source_material_available	dev_notes_slices/2064-heal-hǣlan.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
2065	heart	heorte	*xértōn	regular	no	none	source_material_available	dev_notes_slices/2065-heart-heorte.md	P4_no_report_required	no	no	no	Regular row has no NOTE and is outside the selective-report backlog.
