# GENERATED FILE — DO NOT EDIT.
# Complete production Old English execution sequence (root: regex OldEnglish).
# Source: Germanic/fsts/germanic.txt; model: Germanic/tools/oe_pipeline.py;
# generator: Germanic/tools/cascade_order_manifest.py.
# cascade_position is the legacy SC position space (empty for the
# proto-input/PGmc prelude and the surface filter); exec_index is the
# complete physical order. sc_id is joined from registry/sc_registry.tsv.
exec_index	cascade_position	foma_identifier	origin_block	kind	snapshot_bin	sc_id
75	73	OEFinalUnstressedOLowering	EnglishProtoToOE	named	old_english_sandbox_after_oe_final_unstressed_o_lowering.bin	SC100
76	74	OEUnstressedLongVowelShortening	EnglishProtoToOE	named	old_english_sandbox_after_oe_unstressed_long_vowel_shortening.bin	SC072
77	75	OEUnstressedAEMerger	EnglishProtoToOE	named	old_english_sandbox_after_oe_unstressed_ae_merger.bin	SC073
78	76	OEMedUnstressedILowering1	EnglishProtoToOE	named	old_english_sandbox_after_oe_med_unstressed_i_lowering_1.bin	SC074
79	77	OEMedUnstressedILowering	EnglishProtoToOE	named	old_english_sandbox_after_oe_med_unstressed_i_lowering.bin	SC075
80	78	OEMedUnstressedULowering	EnglishProtoToOE	named	old_english_sandbox_after_oe_med_unstressed_u_lowering.bin	SC040
81	79	OEPrefixIReduction	EnglishProtoToOE	named	old_english_sandbox_after_oe_prefix_i_reduction.bin	SC076
82	80	OEWeakTailReduction	EnglishProtoToOE	named	old_english_sandbox_after_oe_weak_tail_reduction.bin	SC078
83	81	OEJLossAfterHeavy	EnglishProtoToOE	named	old_english_sandbox_after_oe_j_loss_after_heavy.bin	SC079
84	82	OEFinalGeminateSimplification	EnglishProtoToOE	named	old_english_sandbox_after_oe_final_geminate_simplification.bin	SC080
85	83	OEJStrengtheningAfterFrontDiphthong	EnglishProtoToOE	named	old_english_sandbox_after_oe_j_strengthening_after_front_diphthong.bin	SC081
86	84	OEIntervocalicJVocalization	EnglishProtoToOE	named	old_english_sandbox_after_oe_intervocalic_j_vocalization.bin	SC082
87	85	OEUnstressedEIContraction	EnglishProtoToOE	named	old_english_sandbox_after_oe_unstressed_ei_contraction.bin	SC083
88	86	OEWeightCleanup	EnglishProtoToOE	named	old_english_sandbox_after_oe_weight_cleanup.bin	SC084
89	87	OEHLoss	EnglishProtoToOE	named	old_english_sandbox_after_oe_h_loss.bin	SC085
90	88	OEContraction	EnglishProtoToOE	named	old_english_sandbox_after_oe_contraction.bin	SC086
91	89	OERMetathesis	EnglishProtoToOE	named	old_english_sandbox_after_oe_r_metathesis.bin	SC087
92	90	OEEpentheticVowel	OldEnglishAfterEpenthesis	named	old_english_sandbox_after_oe_epenthetic_vowel.bin	SC088
93	91	OELateUnstressedAgSuffix	OldEnglishRules	named	old_english_sandbox_after_oe_late_unstressed_ag_suffix.bin	SC089
94	92	OECjCleanup	OldEnglishRules	named	old_english_sandbox_after_oe_cj_cleanup.bin	
95	93	OEXsMerge	OldEnglishRules	named	old_english_sandbox_after_oe_xs_merge.bin	
96	94	OldEnglishOrthography	OldEnglishRules	named	old_english_sandbox_after_old_english_orthography.bin	
97	95	OEWsPalatalGlide	OldEnglishRules	named	old_english_sandbox_after_oe_ws_palatal_glide.bin	SC016
98	96	OldEnglishRemoveStars	OldEnglishRules	named	old_english_sandbox_after_old_english_remove_stars.bin	
99		OldEnglishSurface	OldEnglishReflexes	named	old_english_sandbox_after_old_english_surface.bin	
