sc_id	former_foma_identifier	canonical_foma_identifier	former_display_name	canonical_display_name	former_hist_stage	canonical_hist_stage	former_hist_scope	canonical_hist_scope	migration_status	migration_commit	notes
SC024	NWGmcLongELowering	PNWGmcLongELowering	NWGmc Long E Lowering	Long E Lowering with Anglo-Frisian Fronting	nwgmc	eaf	pan_nwgmc	anglo_frisian	completed	851f7531	Foma identifier remains stable; R/T 2014 pp.11-14, 146-152 correct the scope: the rule telescopes pan-NWGmc *e1 > *a plus Anglo-Frisian fronting of non-nasalized *a (OS/OHG/ON keep a), so the fronted outcome is Anglo-Frisian, not pan-NWGmc (sc024-adjudication.md); one-step *e > *ae proxy keeps *e1 disjoint from a < *ai.
SC025	NWGmcLongENasalRounding	PNWGmcLongENasalRounding	NWGmc Long E Nasal Rounding	Proto-Northwest Germanic Long E Nasal Rounding	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	0b4ffa59	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC026	NWGmcNasalSpirantLengthening	EAFNasalSpirantLengthening	NWGmc Nasal Spirant Lengthening	North Sea Germanic nasal-spirant lengthening	ingvaeonic	eaf	north_sea_germanic	north_sea_germanic	completed	76cbb304	Former identifier NWGmcNasalSpirantLengthening. Traditional scholarly label: Ingvaeonic. Keep SC026<SC027, two-rule split.
SC027	NWGmcNasalSpirantLoss	EAFNasalSpirantLoss	NWGmc Nasal Spirant Loss	North Sea Germanic nasal-spirant loss	ingvaeonic	eaf	north_sea_germanic	north_sea_germanic	completed	02e6f081	Former identifier NWGmcNasalSpirantLoss. Traditional scholarly label: Ingvaeonic.
SC028	NWGmcPreconsonantalXLoss	PNWGmcPreconsonantalXLoss	NWGmc Preconsonantal X Loss	Proto-Northwest Germanic Preconsonantal X Loss	nwgmc	pnwgmc	pan_nwgmc	pan_pnwgmc	completed	2f74516b	PNWGmc convention: make Proto-Northwest Germanic explicit; body/order unchanged
SC041	PWGmcFinalBareALoss	PWGmcFinalBareALoss	PWGmc Final Bare A Loss	PWGmc Final Bare A Loss	pwgmc	pwgmc	pan_wgmc	pan_wgmc	not_required		PWGmc name source-correct (R/T pp.60-61); no rename.
SC042	PWGmcSurvivingBimoricOUnrounding	PWGmcSurvivingBimoricOUnrounding	PWGmc Surviving Bimoric O Unrounding	PWGmc Surviving Bimoric O Unrounding	pwgmc	pwgmc	pan_wgmc	pan_wgmc	not_required		Model-shaped feeder; position-by-dependency; no rename.
SC043	AngloFrisianBrightening	EAFBrightening	Anglo Frisian Brightening	Anglo-Frisian brightening	af	eaf	anglo_frisian	anglo_frisian	completed	1043597a	Former identifier AngloFrisianBrightening. Aligns identifier to EAF stage; conventional name retained in book.
SC049	PGmcBAllophony	PGmcBAllophony	PGmc B Allophony	PGmc B Allophony	pgmc	pgmc	pan_germanic	pan_germanic	not_required		PGmc *b allophony correct; late position is an FST dependency.
SC050	SieversLawSyncope	SieversLawSyncope	Sievers Law Syncope	Sievers Law Syncope	pwgmc	pwgmc	pan_wgmc	pan_wgmc	not_required		Eponymous SieversLawSyncope may keep no stage prefix; late position is a feeder.
SC064	NWGmcInStemNLoss	NWGmcInStemNLoss	NWGmc In Stem N Loss	NWGmc In Stem N Loss	nwgmc	nwgmc	pan_nwgmc	pan_nwgmc	deferred		Stage unresolved (hist_stage nwgmc vs chapter 4/OE, confidence C); do not rename.
