action	source_ref	form	language	form_role	note
accept	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md:21	for-leósan	oe	comparison_form	OE prefixed comparison form in the forlorn-family discussion
accept	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md:21	for-lēosan	oe	comparison_form	OE prefixed comparison form in the forlorn-family discussion
accept	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md:21	fra-liusan	goth	comparison_form	Gothic cognate cited in the comparison
accept	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md:25	forloren	oe	comparison_form	attested OE participial comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md:25	forlorn	oe	comparison_form	attested OE/English comparison form in the lexical family
accept	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md:25	forlēosan	oe	comparison_form	attested OE prefixed infinitive comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2030-fowl-fugol.model.md:35	fugel	oe	comparison_form	attested OE spelling variant in dictionary evidence
accept	Germanic/docs/lexeme_reports/model_entries/2030-fowl-fugol.model.md:45	fogol	oe	regular_output	explicit regular expected output contrasted with attested fugol
accept	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md:36	fyrht	oe	comparison_form	attested OE comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2034-fright-fyrhte.model.md:36	fyrhtan	oe	comparison_form	attested OE verbal comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md:21	*gangaz	pgmc	selected_input	prose explicitly identifies the selected citation-form input
accept	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md:29	gangan	oe	comparison_form	attested OE comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:21	for-geofan	oe	comparison_form	non-West-Saxon OE comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:21	geafa	oe	comparison_form	Northumbrian OE comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:29	for-geofan	oe	comparison_form	non-West-Saxon OE comparison form in the dialect note
accept	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:29	geafa	oe	comparison_form	non-West-Saxon OE comparison form in the dialect note
accept	Germanic/docs/lexeme_reports/model_entries/2043-gold-gold.model.md:33	*góldą	preoe	comparison_form	model-stage lowered form in the development chain
accept	Germanic/docs/lexeme_reports/model_entries/2043-gold-gold.model.md:33	*gúldą	preoe	comparison_form	model-stage voiced pre-Old-English form in the development chain
accept	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:25	græf	oe	comparison_form	attested OE comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:33	græf	oe	comparison_form	attested OE comparison form in development prose
accept	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:33	græfen	oe	comparison_form	attested OE comparison form in development prose
accept	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md:33	græfð	oe	comparison_form	attested OE comparison form in development prose
accept	Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md:21	haldan	oe	comparison_form	Anglian and Mercian OE comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2102-light-līehtan.model.md:33	lyhtan	oe	comparison_form	later West Saxon comparison form
accept	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md:36	hrefn	oe	evidence_form	Campbell rule example cited as evidence for medial cluster behavior
accept	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md:37	botm	oe	evidence_form	Campbell rule example cited as evidence for medial cluster behavior
accept	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md:27	hunig	oe	evidence_form	Campbell example cited as evidence for the OE -ig suffix
accept	Germanic/docs/lexeme_reports/model_entries/2248-think-þenċan.model.md:33	hycgan	oe	comparison_form	related OE class-III comparison verb
accept	Germanic/docs/lexeme_reports/model_entries/2309-make-(iptv.2sg)-maca.model.md:22	lapian	oe	evidence_form	Campbell example cited as evidence for restored a in class-II verbs
accept	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md:23	wolf	ohg	comparison_form	Old High German cognate cited in the comparative evidence
accept	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md:30	bolt	oe	evidence_form	Bülbring comparison example cited as evidence for regular o-vocalism
accept	Germanic/docs/lexeme_reports/model_entries/2298-wolf-wulf.model.md:53	wylf	oe	regular_output	explicit regular control output contrasted with attested wulf
accept	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md:24	foll	ohg	comparison_form	Old High German regular comparator in the wool discussion
accept	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md:24	full	oe	evidence_form	parallel OE rule example in the wool exception discussion
accept	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md:30	woll	oe	regular_output	explicit regular expected output contrasted with attested wull
accept	Germanic/docs/lexeme_reports/model_entries/2300-wool-wull.model.md:47	woll	oe	regular_output	explicit regular expected output contrasted with attested wull
accept	Germanic/docs/lexeme_reports/model_entries/2162-rust-rust.model.md:23	rost	ohg	comparison_form	Old High German cognate cited in the comparative evidence
accept	Germanic/docs/lexeme_reports/model_entries/2232-sunder-sundrian.model.md:23	sondern	german	comparison_form	German cognate cited in the comparative discussion
defer	Germanic/docs/lexeme_reports/model_entries/2204-spar-spearra.model.md:21	sparro	ohg	comparison_form	shared Old Saxon/Old High German citation form needs finer language disambiguation
accept	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md:22	spere	oe	evidence_form	Campbell example cited as evidence for short neuter i-stems
accept	Germanic/docs/lexeme_reports/model_entries/2155-coat-rocc.model.md:33	stānrocc	oe	comparison_form	separate lexical comparator cited in the source note
accept	Germanic/docs/lexeme_reports/model_entries/2217-still-stillan.model.md:21	stillen	german	comparison_form	German cognate cited in the comparative discussion
accept	Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md:28	strēzan	oe	comparison_form	Anglian OE comparison form
ignore	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:47	thousand			ordinary English gloss word in the lexical note
accept	Germanic/docs/lexeme_reports/model_entries/2257-tide-tīd.model.md:33	tīdan	oe	comparison_form	separate OE weak-verb comparator in the lexical note
accept	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:46	hleahtor	oe	comparison_form	related OE noun cited as comparison evidence
accept	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md:47	*hlahtraz	pgmc	comparison_form	related PGmc noun cited as comparison evidence
defer	Germanic/docs/lexeme_reports/model_entries/2140-night-niht.model.md:46	*neahti	preoe	comparison_form	intermediate model-stage form in the night development chain
defer	Germanic/docs/lexeme_reports/model_entries/2141-nightmare-mare.model.md:33	*nihtmare	pgmc	comparison_form	unattested compound label kept for review only
defer	Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md:52	*wér-uldu	preoe	comparison_form	intermediate compound stage in the world development chain
ignore	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md:53	Mönch			German translation gloss in Brunner citation, not a comparison form for this entry
ignore	Germanic/docs/lexeme_reports/model_entries/2308-youth-ġeoguþ.model.md:53	Jugend			German translation gloss in Brunner citation, not a comparison form for this entry
defer	Germanic/docs/lexeme_reports/model_entries/2313-learn-(iptv.2sg)-liorna.model.md:44	*líornô	preoe	comparison_form	Intermediate reconstructed stage retained for derivational exposition.
defer	Germanic/docs/lexeme_reports/model_entries/2314-learn-(3sg)-liornaþ.model.md:52	*líornōθ	preoe	comparison_form	Intermediate reconstructed stage retained for derivational exposition.
defer	Germanic/docs/lexeme_reports/model_entries/2227-strew-strīeġan.model.md:31	strēzan	oe	comparison_form	Anglian comparative form retained as contextual evidence, not promoted to main index.
defer	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md:33	*saiui	pgmc	comparison_form	comparative headword variant cited in same entry
defer	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md:39	*sāwiz	pwgmc	comparison_form	intermediate development stage in the sea derivation chain
defer	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md:40	*sāwiz	pwgmc	comparison_form	intermediate development stage in the sea derivation chain
defer	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md:42	*sāwiz	pwgmc	comparison_form	intermediate development stage in the sea derivation chain
defer	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md:40	*stába	preoe	comparison_form	intermediate development stage in the staff derivation chain
ignore	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:67	coda			English linguistic term 'coda' (syllabic position); not a Germanic lexical form
ignore	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:63	NWGmcMnDissimilation			FST rule name; not a lexical form
ignore	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:83	Orel			Author name (dictionary citation); not a lexical form
defer	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:67	*stáfnaz	pgmc	source_protoform	Proposed NWGmc intermediate for prow/stem etymology; deferred pending full dossier
ignore	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:82	*stebnō	pgmc	source_protoform	Wrong homonym (voice word); explicitly excluded from stem/prow row 2216
defer	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:67	*stéfnô	pgmc	source_protoform	Pre-OE transponent candidate for prow word; deferred pending full dossier
defer	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:46	*stofn	pgmc	source_protoform	Luick proto-form for OE stofn trunk; deferred pending full dossier
ignore	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:83	cluster			English linguistic term 'cluster' (phonological position); not a Germanic lexical form
ignore	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md:70	NWGmcMnDissimilation			FST rule name; not a lexical form (updated line reference)
